id,title,grant date,result link,representative figure link
US-PP23606-P3,Interspecific tree named ‘Black Satin’ ,2013-05-21,https://patents.google.com/patent/USPP23606P3/en,https://patentimages.storage.googleapis.com/cd/16/95/4506a4c965b4db/USPP023606-20130521-D00001.png
US-PP22648-P2,Interspecific tree named ‘Betty-Cot’ ,2012-04-17,https://patents.google.com/patent/USPP22648P2/en,https://patentimages.storage.googleapis.com/55/06/38/ccd2c5ee51e7a7/USPP022648-20120417-D00001.png
US-PP22740-P2,Interspecific tree named ‘Crimson Kat’ ,2012-05-22,https://patents.google.com/patent/USPP22740P2/en,https://patentimages.storage.googleapis.com/df/1c/03/f903550ac58a90/USPP022740-20120522-D00001.png
US-PP22428-P3,Interspecific tree named ‘Fall Fiesta’ ,2012-01-03,https://patents.google.com/patent/USPP22428P3/en,https://patentimages.storage.googleapis.com/f6/bd/80/5e8bd8201df464/USPP022428-20120103-D00001.png
US-PP22429-P3,Interspecific tree named ‘Bella Rose’ ,2012-01-03,https://patents.google.com/patent/USPP22429P3/en,https://patentimages.storage.googleapis.com/39/82/8a/f28ea620207883/USPP022429-20120103-D00001.png
US-PP21817-P2,Interspecific tree named ‘BELLA SUN’ ,2011-03-29,https://patents.google.com/patent/USPP21817P2/en,https://patentimages.storage.googleapis.com/c8/94/80/72c9e98a22e6d6/USPP021817-20110329-D00001.png
US-PP21723-P2,Interspecific tree named ‘NEWROOT-1’,2011-02-22,https://patents.google.com/patent/USPP21723P2/en,https://patentimages.storage.googleapis.com/e1/35/96/b2b2f5a2992b6d/USPP021723-20110222-D00001.png
US-PP21863-P2,Interspecific tree named ‘Leah Cot’ ,2011-04-12,https://patents.google.com/patent/USPP21863P2/en,https://patentimages.storage.googleapis.com/8a/65/ae/1daa77a6425e92/USPP021863-20110412-D00001.png
US-PP20295-P2,Interspecific almond tree named ‘Alm-21’,2009-09-15,https://patents.google.com/patent/USPP20295P2/en,https://patentimages.storage.googleapis.com/1d/9b/9c/2b2b53ff450fd7/USPP020295-20090915-D00001.png
US-PP19925-P2,Interspecific prunus tree named ‘Bella Royale’ ,2009-04-14,https://patents.google.com/patent/USPP19925P2/en,https://patentimages.storage.googleapis.com/e1/ce/d0/8205c6c2390ec2/USPP019925-20090414-D00001.png
US-PP19834-P2,Interspecific prunus tree named ‘Gypzee’ ,2009-03-17,https://patents.google.com/patent/USPP19834P2/en,https://patentimages.storage.googleapis.com/9f/b9/9f/81f38a59952fcf/USPP019834-20090317-D00001.png
US-PP19619-P2,Interspecific prunus tree named ‘Ruby Kat’ ,2009-01-06,https://patents.google.com/patent/USPP19619P2/en,https://patentimages.storage.googleapis.com/94/14/79/7f7be1e5a08074/USPP019619-20090106-D00001.png
US-PP20173-P2,Interspecific prunus tree named ‘Coparose’ ,2009-07-07,https://patents.google.com/patent/USPP20173P2/en,https://patentimages.storage.googleapis.com/dd/d9/5f/91402a5cb1c302/USPP020173-20090707-D00001.png
US-PP19365-P2,Cherry tree named ‘Royal Edie’ ,2008-10-21,https://patents.google.com/patent/USPP19365P2/en,https://patentimages.storage.googleapis.com/54/ee/c5/13fb972110a286/USPP019365-20081021-D00001.png
US-PP19596-P2,Interspecific Prunus tree named ‘Honey Punch’ ,2008-12-23,https://patents.google.com/patent/USPP19596P2/en,https://patentimages.storage.googleapis.com/42/a7/d8/8d97d38d7cab2b/USPP019596-20081223-D00001.png
US-PP18921-P2,Interspecific tree ‘Late Brittney’ ,2008-06-10,https://patents.google.com/patent/USPP18921P2/en,https://patentimages.storage.googleapis.com/9f/60/c2/100312c81f4d56/USPP018921-20080610-D00001.png
US-PP19563-P3,Interspecific tree named ‘Coral-Cot’ ,2008-12-09,https://patents.google.com/patent/USPP19563P3/en,https://patentimages.storage.googleapis.com/3b/fd/d1/82db3ef0114642/USPP019563-20081209-D00001.png
US-PP18537-P2,Interspecific Prunus plant named ‘Escort’ ,2008-03-04,https://patents.google.com/patent/USPP18537P2/en,https://patentimages.storage.googleapis.com/0c/b4/60/7b4969fe84b47e/USPP018537-20080304-D00001.png
US-PP18559-P2,Interspecific Prunus tree named ‘Crimson Royale’ ,2008-03-04,https://patents.google.com/patent/USPP18559P2/en,https://patentimages.storage.googleapis.com/e5/52/a3/fd53de26fc81fa/USPP018559-20080304-D00001.png
US-PP17832-P2,Interspecific tree named ‘Amigo II’ ,2007-06-26,https://patents.google.com/patent/USPP17832P2/en,https://patentimages.storage.googleapis.com/43/48/86/2431f812afe93b/USPP017832-20070626-D00001.png
US-PP18815-P3,Interspecific tree named ‘Bella Cerise’ ,2008-05-13,https://patents.google.com/patent/USPP18815P3/en,https://patentimages.storage.googleapis.com/74/07/d5/b340ab1617c025/USPP018815-20080513-D00001.png
US-PP17828-P2,Interspecific tree named ‘Candy Stripe’ ,2007-06-26,https://patents.google.com/patent/USPP17828P2/en,https://patentimages.storage.googleapis.com/06/48/ca/270046107ae0f7/USPP017828-20070626-D00001.png
US-PP16599-P2,Interspecific tree named ‘Autumn Sprite’ ,2006-05-30,https://patents.google.com/patent/USPP16599P2/en,https://patentimages.storage.googleapis.com/c3/fb/4f/33c123b613d56c/USPP016599-20060530-D00001.png
US-PP16597-P2,Interspecific tree named: ‘Wescot’ ,2006-05-30,https://patents.google.com/patent/USPP16597P2/en,https://patentimages.storage.googleapis.com/34/2b/ea/ac0fcde1109028/USPP016597-20060530-D00001.png
US-PP16491-P2,Interspecific tree named: ‘Flavor Rouge’ ,2006-05-02,https://patents.google.com/patent/USPP16491P2/en,https://patentimages.storage.googleapis.com/28/54/c4/45b5b8ce7f4bc1/USPP016491-20060502-D00001.png
US-PP16412-P2,Interspecific tree ,2006-04-04,https://patents.google.com/patent/USPP16412P2/en,https://patentimages.storage.googleapis.com/c9/92/1b/4f1e91e6784d2e/USPP016412-20060404-D00001.png
US-PP16413-P2,Interspecific tree ,2006-04-04,https://patents.google.com/patent/USPP16413P2/en,https://patentimages.storage.googleapis.com/07/c7/ab/d77dc0aeaa93eb/USPP016413-20060404-D00001.png
US-PP14599-P2,Interspecific tree named ‘Emerald Gem’ ,2004-03-16,https://patents.google.com/patent/USPP14599P2/en,https://patentimages.storage.googleapis.com/8d/dd/0f/d147cfdc2a1090/USPP014599-20040316-D00001.png
US-PP14583-P2,Interspecific tree named: ‘Splash’ ,2004-03-09,https://patents.google.com/patent/USPP14583P2/en,https://patentimages.storage.googleapis.com/54/8d/01/b2629714eadda1/USPP014583-20040309-D00001.png
US-PP15088-P3,Interspecific tree named: Marcia's Flavor ,2004-08-17,https://patents.google.com/patent/USPP15088P3/en,https://patentimages.storage.googleapis.com/d6/d4/32/3f66615fd055a1/USPP015088-20040817-D00001.png
US-PP14571-P2,Interspecific tree named ‘Spring Flavor’ ,2004-03-02,https://patents.google.com/patent/USPP14571P2/en,https://patentimages.storage.googleapis.com/ce/69/18/9e3491b3a1f08c/USPP014571-20040302-D00001.png
US-PP13687-P2,Interspecific tree name ‘Sierra Rose’ ,2003-03-25,https://patents.google.com/patent/USPP13687P2/en,https://patentimages.storage.googleapis.com/bb/74/9e/1f0e326057c8c6/USPP013687-20030325-D00001.png
US-PP13505-P2,Interspecific tree named ‘Royal Treat’ ,2003-01-21,https://patents.google.com/patent/USPP13505P2/en,https://patentimages.storage.googleapis.com/12/58/59/17e88eab40857e/USPP013505-20030121-D00001.png
US-PP13526-P2,Interspecific tree named ‘Yuba Gold’ ,2003-01-28,https://patents.google.com/patent/USPP13526P2/en,https://patentimages.storage.googleapis.com/0d/6b/89/f34d566f1e389c/USPP013526-20030128-D00001.png
US-PP13502-P2,Interspecific tree named ‘Flavor Jewel’ ,2003-01-21,https://patents.google.com/patent/USPP13502P2/en,https://patentimages.storage.googleapis.com/9b/b9/ad/861a7d5c4b05a5/USPP013502-20030121-D00001.png
US-PP13530-P2,Interspecific tree named: ‘Early Dapple’ ,2003-01-28,https://patents.google.com/patent/USPP13530P2/en,https://patentimages.storage.googleapis.com/1c/7c/c6/1da90fdb9a5488/USPP013530-20030128-D00001.png
US-PP13503-P2,Interspecific tree named ‘Spicezee’ ,2003-01-21,https://patents.google.com/patent/USPP13503P2/en,https://patentimages.storage.googleapis.com/79/2b/39/fecd4cc9d6b1b9/USPP013503-20030121-D00001.png
US-PP12943-P2,Interspecific tree named ‘Crimson Heart’ ,2002-09-10,https://patents.google.com/patent/USPP12943P2/en,https://patentimages.storage.googleapis.com/86/70/28/47c26313bb473b/USPP012943-20020910-D00001.png
US-PP12409-P2,Interspecific tree named: ‘Dapple Fire’ ,2002-02-12,https://patents.google.com/patent/USPP12409P2/en,
US-PP12936-P2,Interspecific tree named ‘Flavor Treat’ ,2002-09-10,https://patents.google.com/patent/USPP12936P2/en,https://patentimages.storage.googleapis.com/b7/30/02/b9653f24900ba6/USPP012936-20020910-D00001.png
US-PP12774-P2,Interspecific tree named ‘Tasty Rich’ ,2002-07-16,https://patents.google.com/patent/USPP12774P2/en,https://patentimages.storage.googleapis.com/f4/4c/9a/6530535b58c3b0/USPP012774-20020716-D00001.png
US-PP12074-P2,Interspecific tree named ‘Flavor Gold’ ,2001-08-28,https://patents.google.com/patent/USPP12074P2/en,
US-PP12097-P2,Interspecific tree named ‘Flavor Grenade’ ,2001-09-18,https://patents.google.com/patent/USPP12097P2/en,
US-PP11990-P2,Interspecific tree named ‘Flavorfall’ ,2001-07-17,https://patents.google.com/patent/USPP11990P2/en,https://patentimages.storage.googleapis.com/6e/23/3d/69d1f209017779/USPP11990-drawings-page-4.png
US-11609-P,Interspecific tree named `Flavorite` ,2000-10-31,https://patents.google.com/patent/USPP11609P/en,https://patentimages.storage.googleapis.com/99/27/fb/0223f6d974fb11/USPP11609-drawings-page-4.png
US-10915-P,Interspecific tree `Flavor Gem` ,1999-05-25,https://patents.google.com/patent/USPP10915P/en,https://patentimages.storage.googleapis.com/ab/df/dc/d0eb8f0ca1a156/USPP10915-drawings-page-3.png
US-10899-P,Interspecific tree `Flavor Ann` ,1999-05-18,https://patents.google.com/patent/USPP10899P/en,https://patentimages.storage.googleapis.com/07/9e/39/15d88c6bcf4007/USPP10899-drawings-page-4.png
US-10386-P,"Interspecific tree ""Geo Pride"" ",1998-05-12,https://patents.google.com/patent/USPP10386P/en,https://patentimages.storage.googleapis.com/f5/3f/df/8b2231bdc083e4/USPP10386-drawings-page-3.png
US-10292-P,"Interspecific tree ""Honey Rich"" ",1998-03-24,https://patents.google.com/patent/USPP10292P/en,https://patentimages.storage.googleapis.com/94/a6/76/e808666220cccb/USPP10292-drawings-page-3.png
US-10285-P,"Interspecific tree ""Flavorosa"" ",1998-03-17,https://patents.google.com/patent/USPP10285P/en,https://patentimages.storage.googleapis.com/f2/e8/09/361a0018d1f639/USPP10285-drawings-page-3.png
US-10608-P,"Interspecific tree ""Flavor Heart"" ",1998-09-22,https://patents.google.com/patent/USPP10608P/en,https://patentimages.storage.googleapis.com/96/04/0e/7aa29e5fc1f063/USPP10608-drawings-page-3.png
US-8913-P,"Interspecific rootstock tree ""Atlas"" ",1994-09-27,https://patents.google.com/patent/USPP8913P/en,https://patentimages.storage.googleapis.com/f2/61/bf/a4261c86a877a4/USPP8913-drawings-page-3.png
US-8912-P,"Interspecific rootstock ""Viking"" ",1994-09-27,https://patents.google.com/patent/USPP8912P/en,https://patentimages.storage.googleapis.com/bb/18/56/05d48bf4b9d050/USPP8912-drawings-page-3.png
US-5112-P,Interspecific rootstock tree 4-G-816,1983-09-27,https://patents.google.com/patent/USPP5112P/en,https://patentimages.storage.googleapis.com/fc/27/07/30fa308a744083/USPP5112-drawings-page-3.png
